date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:06:39	103046/103046	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Feb%202026%2016:06:37%20GMT	https://lionheart-education.com/about-lionheart/specialist-support-autism-spectrum-disorder/	C:/My%20Web%20Sites/lionheart/lionheart-education.com/about-lionheart/specialist-support-autism-spectrum-disorder/index.html	(from https://lionheart-education.com/)
16:06:39	65576/65576	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Feb%202026%2016:06:38%20GMT	https://lionheart-education.com/%22https:/www.youtube.com/embed/9JIWkOe0U3U	C:/My%20Web%20Sites/lionheart/lionheart-education.com/_https_/www.youtube.com/embed/9JIWkOe0U3U	(from https://lionheart-education.com/)
16:06:39	98839/98839	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Feb%202026%2016:06:38%20GMT	https://lionheart-education.com/about-lionheart/specialist-support-adhd-add/	C:/My%20Web%20Sites/lionheart/lionheart-education.com/about-lionheart/specialist-support-adhd-add/index.html	(from https://lionheart-education.com/)
16:06:39	137797/137797	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Feb%202026%2016:06:38%20GMT	https://lionheart-education.com/about-lionheart/specialist-support-behavioural-issues/	C:/My%20Web%20Sites/lionheart/lionheart-education.com/about-lionheart/specialist-support-behavioural-issues/index.html	(from https://lionheart-education.com/)
16:06:39	92983/92983	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Feb%202026%2016:06:38%20GMT	https://lionheart-education.com/about-lionheart/specialist-support-ehcp/	C:/My%20Web%20Sites/lionheart/lionheart-education.com/about-lionheart/specialist-support-ehcp/index.html	(from https://lionheart-education.com/)
16:06:40	65614/65614	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Feb%202026%2016:06:39%20GMT	https://lionheart-education.com/%22https://www.youtube.com/embed/06n1c9nl33Q?si=aMgg1aErY5nbD5qs&start=30%22	C:/My%20Web%20Sites/lionheart/lionheart-education.com/_https_/www.youtube.com/embed/06n1c9nl33Qffbf	(from https://lionheart-education.com/)
16:06:40	138088/138088	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Feb%202026%2016:06:39%20GMT	https://lionheart-education.com/about-lionheart/specialist-support-mental-health-disorders/	C:/My%20Web%20Sites/lionheart/lionheart-education.com/about-lionheart/specialist-support-mental-health-disorders/index.html	(from https://lionheart-education.com/)
16:06:40	107057/107057	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Feb%202026%2016:06:39%20GMT	https://lionheart-education.com/about-lionheart/special-educational-needs-disabilities/	C:/My%20Web%20Sites/lionheart/lionheart-education.com/about-lionheart/special-educational-needs-disabilities/index.html	(from https://lionheart-education.com/)
16:06:40	134807/134807	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Feb%202026%2016:06:39%20GMT	https://lionheart-education.com/about-lionheart/specialist-support-school-exclusion/	C:/My%20Web%20Sites/lionheart/lionheart-education.com/about-lionheart/specialist-support-school-exclusion/index.html	(from https://lionheart-education.com/)
16:06:41	65600/65600	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Feb%202026%2016:06:39%20GMT	https://lionheart-education.com/%22https://www.youtube.com/embed/6N9FAexBogg?si=3pbyVOeBGdVrFLDA%22	C:/My%20Web%20Sites/lionheart/lionheart-education.com/_https_/www.youtube.com/embed/6N9FAexBogge53b	(from https://lionheart-education.com/)
16:06:41	109737/109737	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Feb%202026%2016:06:39%20GMT	https://lionheart-education.com/consultancy-with-lionheart/	C:/My%20Web%20Sites/lionheart/lionheart-education.com/consultancy-with-lionheart/index.html	(from https://lionheart-education.com/)
16:06:41	106028/106028	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Feb%202026%2016:06:40%20GMT	https://lionheart-education.com/consultancy-with-lionheart/early-years-nursery-admissions/	C:/My%20Web%20Sites/lionheart/lionheart-education.com/consultancy-with-lionheart/early-years-nursery-admissions/index.html	(from https://lionheart-education.com/)
16:06:41	113733/113733	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Feb%202026%2016:06:40%20GMT	https://lionheart-education.com/consultancy-with-lionheart/school-placement/	C:/My%20Web%20Sites/lionheart/lionheart-education.com/consultancy-with-lionheart/school-placement/index.html	(from https://lionheart-education.com/)
16:06:41	60902/60902	---M--	200	added ('OK')	image/webp	etag:%22690cdd8a-ede6%22	https://lionheart-education.com/wp-content/uploads/2025/11/u2554752938_candid_moment_of_two_young_children_laughing_and__def35665-48c7-4ba6-a276-91e9b2b8a5c3_1-669x815.webp	C:/My%20Web%20Sites/lionheart/lionheart-education.com/wp-content/uploads/2025/11/u2554752938_candid_moment_of_two_young_children_laughing_and__def35665-48c7-4ba6-a276-91e9b2b8a5c3_1-669x815.webp	(from https://lionheart-education.com/)
16:06:42	113844/113844	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Feb%202026%2016:06:41%20GMT	https://lionheart-education.com/consultancy-with-lionheart/university-admissions/	C:/My%20Web%20Sites/lionheart/lionheart-education.com/consultancy-with-lionheart/university-admissions/index.html	(from https://lionheart-education.com/)
16:06:42	101971/101971	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Feb%202026%2016:06:41%20GMT	https://lionheart-education.com/consultancy-with-lionheart/mental-health/	C:/My%20Web%20Sites/lionheart/lionheart-education.com/consultancy-with-lionheart/mental-health/index.html	(from https://lionheart-education.com/)
16:06:42	1780/1780	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260a4cce1d0bc872968ca4d29e0abb168%22	https://js-eu1.hsforms.net/forms/embed/developer/143825998.js	C:/My%20Web%20Sites/lionheart/js-eu1.hsforms.net/forms/embed/developer/143825998.js	(from https://lionheart-education.com/)
